사업장명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업종구분소분류,도,시,로
탑동에이치지,영업,제주특별자치도 제주시 삼도이동 1120-2,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",63166.0,기타,제주특별자치도,제주시,무근성안길
에릭스에스프레소,영업,제주특별자치도 제주시 구좌읍 세화리 1397-6번지,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",63361.0,기타,제주특별자치도,제주시,구좌읍
일품순두부한림점,영업,제주특별자치도 제주시 한림읍 대림리 1845-2번지,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",63030.0,한식,제주특별자치도,제주시,한림읍
김복남맥주제주아라점,영업,제주특별자치도 제주시 아라일동 6139,"제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)",63248.0,식육(숯불구이),제주특별자치도,제주시,중앙로
봉플라봉뱅,영업,제주특별자치도 제주시 연동 312-57번지 정인하우스,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",63122.0,기타,제주특별자치도,제주시,문송1길
멜꽃삼,영업,제주특별자치도 제주시 아라일동 6138,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",63248.0,정종/대포집/소주방,제주특별자치도,제주시,중앙로
가빈거래처,영업,제주특별자치도 제주시 아라일동 368-81,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",63243.0,기타,제주특별자치도,제주시,산천단동2길
스톤아일랜드탭하우스,영업,제주특별자치도 제주시 연동 280-37,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",63118.0,기타,제주특별자치도,제주시,삼무로7길
레게펍,영업,제주특별자치도 제주시 한림읍 귀덕리 3019,,,기타,,,
옹포분식,영업,제주특별자치도 제주시 한림읍 옹포리 127-15번지,"제주특별자치도 제주시 한림읍 월계로 15, 1층",63012.0,기타,제주특별자치도,제주시,한림읍
연두랑고갈비,영업,제주특별자치도 제주시 도남동 67-9,"제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)",63221.0,한식,제주특별자치도,제주시,독짓골2길
협재더꽃돈본점,영업,제주특별자치도 제주시 한림읍 협재리 1781-1,"제주특별자치도 제주시 한림읍 한림로 366, 1층",63011.0,기타,제주특별자치도,제주시,한림읍
한마음정육식당삼화점,영업,제주특별자치도 제주시 도련일동 1977-5,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",63323.0,기타,제주특별자치도,제주시,건주로6길
와르다레스토랑,영업,제주특별자치도 제주시 삼도이동 148-3번지,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",63169.0,기타,제주특별자치도,제주시,관덕로8길
길섶나그네,영업,제주특별자치도 제주시 조천읍 와산리 1303-6,"제주특별자치도 제주시 조천읍 미래로 241, 1층",63346.0,한식,제주특별자치도,제주시,조천읍
사랑뜰,영업,제주특별자치도 제주시 한림읍 한림리 1419-1,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",63032.0,기타,제주특별자치도,제주시,한림읍
불티나네,영업,제주특별자치도 제주시 애월읍 하귀2리 2720,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",63050.0,기타,제주특별자치도,제주시,애월읍
수니테이블,영업,제주특별자치도 제주시 구좌읍 하도리 1544-2번지,제주특별자치도 제주시 구좌읍 문주란로 33-1,63363.0,분식,제주특별자치도,제주시,구좌읍
연화양꼬치,영업,제주특별자치도 제주시 연동 276-3,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",63136.0,중국식,제주특별자치도,제주시,연동8길
제주황금장어함덕점,영업,제주특별자치도 제주시 조천읍 함덕리 955-8,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",63333.0,기타,제주특별자치도,제주시,조천읍
예쁘게즐겁게,영업,제주특별자치도 제주시 구좌읍 월정리 278,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층",63358.0,기타,제주특별자치도,제주시,구좌읍
제주도해녀세자매,영업,제주특별자치도 제주시 한림읍 수원리 942-1,제주특별자치도 제주시 한림읍 한림해안로 275,63023.0,일식,제주특별자치도,제주시,한림읍
24시누름돌김치찌개,영업,제주특별자치도 제주시 연동 304-3,"제주특별자치도 제주시 노연로 146, 1층 (연동)",63133.0,기타,제주특별자치도,제주시,노연로
선흘바람,영업,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",63341.0,기타,제주특별자치도,제주시,조천읍
이돈갓아라점,영업,제주특별자치도 제주시 아라일동 6127-4,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)",63248.0,기타,제주특별자치도,제주시,인다10길
바삭돈가스삼화점,영업,제주특별자치도 제주시 화북일동 1019-4 티엠빌딩,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)",63303.0,경양식,제주특별자치도,제주시,화삼로
남궁푸드,영업,제주특별자치도 제주시 한림읍 한림리 936-7,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층",63032.0,기타,제주특별자치도,제주시,한림읍
한림피그농원,영업,제주특별자치도 제주시 한림읍 한림리 455,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층",63028.0,기타,제주특별자치도,제주시,한림읍
하도39,영업,제주특별자치도 제주시 구좌읍 하도리 463-5번지,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층",63363.0,기타,제주특별자치도,제주시,구좌읍
옥성식당,영업,제주특별자치도 제주시 이도일동 1289-5 보성시장,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)",63197.0,기타,제주특별자치도,제주시,동광로1길
제주마당,영업,제주특별자치도 제주시 이호일동 663-1,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",63108.0,기타,제주특별자치도,제주시,도리로
보오리,영업,제주특별자치도 제주시 애월읍 광령리 2611-1,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",63062.0,기타,제주특별자치도,제주시,애월읍
대붕정,영업,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",63341.0,한식,제주특별자치도,제주시,조천읍
미연이네집,영업,제주특별자치도 제주시 연동 281-17 삼무주택,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)",63125.0,기타,제주특별자치도,제주시,삼무로7길
영화루,영업,제주특별자치도 제주시 연동 304-37,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)",63133.0,중국식,제주특별자치도,제주시,사장길
맥주창고,영업,제주특별자치도 제주시 도남동 909-1번지 윤재연립,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)",63201.0,기타,제주특별자치도,제주시,도남로
성두길일오포차,영업,제주특별자치도 제주시 연동 291-83,"제주특별자치도 제주시 성두길 15, 1층 (연동)",63125.0,기타,제주특별자치도,제주시,성두길
